Domanda|a|b|c|d|2|categoria|img
Che elemento chimico è "Cu"?|Cloro|Oro|Rame|Cobalto|3|Chimica
Che elemento chimico è "Hg"?|Tecnezio|Mercurio|Oro|Fosforo|2|Chimica
Che elemento chimico è "N"?|Neon|Argon|Zolfo|Azoto|4|Chimica
Che elemento chimico è "Na"?|Nichel|Sodio|Arsenico|Calcio|2|Chimica
Che elemento chimico è "W"?|Ferro|Bario|Tungsteno|Cobalto|3|Chimica
Che elemento chimico è "H"?|Elio|Idrogeno|Ittrio|Uranio|2|Chimica
Che elemento chimico è "S"?|Zolfo|Silicio|Selenio|Sodio|1|Chimica
Che elemento chimico è "K"?|Cadmio|Calcio|Kripton|Potassio|4 |Chimica
Che elemento chimico è "Sb"?|Antimonio|Stagno|Zirconio|Seaborgio|1|Chimica
Quanti elementi ci sono nella tavola periodica?|117|120|118|116|3|Chimica
A quanto equivale una mole di qualcosa?|6,022 x 10²³|6,022 x 10²²|6,022 x 10²¹|6,022 x 10⁻²³|1|Chimica
Cosa rappresenta la concentrazione pH in una soluzione?|Atomi di idrogeno|Anioni H⁺|Cationi H⁺|Anioni H⁻|3|Chimica
Cosa succede se si preme ALT+F4?|Apri una nuova scheda|Chiude la cronologia|Apri gestione attività|Chiudi la finestra selezionata|4|Informatica
Cosa dice la legge di Wirth?|«Il software diventa veloce più rapidamente di quanto l'hardware diventi più veloce»|«Il software diventa lento più rapidamente di quanto l'hardware diventi più veloce»|«L'hardware diventa lento più rapidamente di quanto il software diventi più veloce»|«Il software diventa veloce più rapidamente di quanto l'hardware diventi più lento»|2|Informatica
Che standard usa JavaScript?|IEEE 755|ISO 754|IEEE 754|IEEE 756|3|Informatica
Perchè è sconsigliato usare "==" in JavaScript?|Non distingue i diversi tipi di variabili|Funziona senza problemi|In JavaScript, assegna un valore alla variabile|Ha comportamenti anomali con valori interi|1|Informatica
In quanto tempo è stato sviluppato JavaScript?|1 notte|11 giorni|7 giorni|10 giorni|4|Informatica
Perchè JavaScript è stato creato?|Per processare dati a lato server|Per gestire video nei siti|Per torturare i developer|Per rendere i siti interattivi|4|Informatica
In che anno è stato creato JavaScript?|1994|1995|1996|1999|2|Informatica
In che anno è stato introdotto PHP?|1994|1995|1997|1992|1|Informatica
